"GameTime","Line","Points","Type"
"Half 1 19:56",209.5,2,"NCAA"
"Half 1 19:35",246.5,4,"NCAA"
"Half 1 19:23",221.5,6,"NCAA"
"Half 1 18:56",194.5,8,"NCAA"
"Half 1 18:35",181.5,10,"NCAA"
"Half 1 18:23",214.5,12,"NCAA"
"Half 1 17:56",220.5,14,"NCAA"
"Half 1 17:35",237.5,16,"NCAA"
"Half 1 17:23",207.5,18,"NCAA"
"Half 1 16:56",196.5,21,"NCAA"
"Half 1 16:35",193.5,23,"NCAA"
"Half 1 16:23",234.5,25,"NCAA"
"Half 1 15:56",240.5,27,"NCAA"
"Half 1 15:35",196.5,29,"NCAA"
"Half 1 15:23",235.5,31,"NCAA"
"Half 1 14:56",240.5,34,"NCAA"
"Half 1 14:35",226.5,36,"NCAA"
"Half 1 14:23",211.5,39,"NCAA"
"Half 1 13:56",233.5,41,"NCAA"
"Half 1 13:35",246.5,44,"NCAA"
"Half 1 13:23",192.5,47,"NCAA"
"Half 1 12:56",235.5,50,"NCAA"
"Half 1 12:35",225.5,52,"NCAA"
"Half 1 12:23",218.5,54,"NCAA"
"Half 1 11:56",229.5,56,"NCAA"
"Half 1 11:35",225.5,58,"NCAA"
"Half 1 11:23",188.5,61,"NCAA"
"Half 1 10:56",239.5,63,"NCAA"
"Half 1 10:35",227.5,65,"NCAA"
"Half 1 10:23",248.5,68,"NCAA"
"Half 1 9:56",240.5,71,"NCAA"
"Half 1 9:35",225.5,73,"NCAA"
"Half 1 9:23",227.5,76,"NCAA"
"Half 1 8:56",217.5,78,"NCAA"
"Half 1 8:35",197.5,80,"NCAA"
"Half 1 8:23",203.5,82,"NCAA"
"Half 1 7:56",219.5,85,"NCAA"
"Half 1 7:35",246.5,87,"NCAA"
"Half 1 7:23",184.5,90,"NCAA"
"Half 1 6:56",248.5,93,"NCAA"
"Half 1 6:35",187.5,96,"NCAA"
"Half 1 6:23",211.5,99,"NCAA"
"Half 1 5:56",207.5,101,"NCAA"
"Half 1 5:35",203.5,103,"NCAA"
"Half 1 5:23",181.5,106,"NCAA"
"Half 1 4:56",237.5,109,"NCAA"
"Half 1 4:35",188.5,111,"NCAA"
"Half 1 4:23",190.5,114,"NCAA"
"Half 1 3:56",229.5,116,"NCAA"
"Half 1 3:35",197.5,119,"NCAA"
"Half 1 3:23",196.5,121,"NCAA"
"Half 1 2:56",244.5,124,"NCAA"
"Half 1 2:35",227.5,126,"NCAA"
"Half 1 2:23",238.5,128,"NCAA"
"Half 1 1:56",199.5,130,"NCAA"
"Half 1 1:35",184.5,133,"NCAA"
"Half 1 1:23",219.5,136,"NCAA"
"Half 1 0:56",216.5,138,"NCAA"
"Half 1 0:35",203.5,141,"NCAA"
"Half 1 0:23",225.5,144,"NCAA"
"Half 2 19:56",186.5,146,"NCAA"
"Half 2 19:35",210.5,149,"NCAA"
"Half 2 19:23",224.5,151,"NCAA"
"Half 2 18:56",230.5,154,"NCAA"
"Half 2 18:35",182.5,157,"NCAA"
"Half 2 18:23",217.5,159,"NCAA"
"Half 2 17:56",201.5,162,"NCAA"
"Half 2 17:35",236.5,165,"NCAA"
"Half 2 17:23",202.5,168,"NCAA"
"Half 2 16:56",185.5,170,"NCAA"
"Half 2 16:35",192.5,173,"NCAA"
"Half 2 16:23",195.5,176,"NCAA"
"Half 2 15:56",220.5,178,"NCAA"
"Half 2 15:35",183.5,180,"NCAA"
"Half 2 15:23",205.5,183,"NCAA"
"Half 2 14:56",230.5,185,"NCAA"
"Half 2 14:35",189.5,188,"NCAA"
"Half 2 14:23",215.5,191,"NCAA"
"Half 2 13:56",187.5,193,"NCAA"
"Half 2 13:35",183.5,195,"NCAA"
"Half 2 13:23",181.5,198,"NCAA"
"Half 2 12:56",186.5,201,"NCAA"
"Half 2 12:35",205.5,204,"NCAA"
"Half 2 12:23",218.5,207,"NCAA"
"Half 2 11:56",247.5,209,"NCAA"
"Half 2 11:35",210.5,211,"NCAA"
"Half 2 11:23",250.5,214,"NCAA"
"Half 2 10:56",180.5,217,"NCAA"
"Half 2 10:35",193.5,220,"NCAA"
"Half 2 10:23",245.5,222,"NCAA"
"Half 2 9:56",202.5,224,"NCAA"
"Half 2 9:35",208.5,226,"NCAA"
"Half 2 9:23",192.5,228,"NCAA"
"Half 2 8:56",230.5,231,"NCAA"
"Half 2 8:35",235.5,233,"NCAA"
"Half 2 8:23",249.5,235,"NCAA"
"Half 2 7:56",216.5,238,"NCAA"
"Half 2 7:35",198.5,240,"NCAA"
"Half 2 7:23",194.5,242,"NCAA"
"Half 2 6:56",180.5,245,"NCAA"
"Half 2 6:35",189.5,247,"NCAA"
"Half 2 6:23",238.5,249,"NCAA"
"Half 2 5:56",242.5,251,"NCAA"
"Half 2 5:35",221.5,253,"NCAA"
"Half 2 5:23",235.5,256,"NCAA"
"Half 2 4:56",181.5,258,"NCAA"
"Half 2 4:35",221.5,261,"NCAA"
"Half 2 4:23",189.5,263,"NCAA"
"Half 2 3:56",239.5,266,"NCAA"
"Half 2 3:35",247.5,269,"NCAA"
"Half 2 3:23",194.5,272,"NCAA"
"Half 2 2:56",203.5,274,"NCAA"
"Half 2 2:35",223.5,277,"NCAA"
"Half 2 2:23",198.5,280,"NCAA"
"Half 2 1:56",224.5,283,"NCAA"
"Half 2 1:35",185.5,285,"NCAA"
"Half 2 1:23",182.5,287,"NCAA"
"Half 2 0:56",203.5,289,"NCAA"
"Half 2 0:35",236.5,292,"NCAA"
"Half 2 0:23",206.5,295,"NCAA"
